"","tweet","date","isretweet","retweeted","retweetcount","favoritecount","favorited"
"66","RT @BBBdelaware: Great advice and stories from great leaders this am @startitupde @coINLoftDE  @BPGS_  #netde https://t.co/BGzu6jM5QL","2016-05-10 20:53:09","TRUE","FALSE","4","0","FALSE"
"67","TONIGHT: Find out which state is fighting against identity theft. #netde #netmd #netva https://t.co/s3GUEMK41Y","2016-05-10 20:52:49","FALSE","FALSE","1","0","FALSE"
"68","RT @MarkEichmann: Delaware State opens doors to 'locked-out' #undocumented students via $80K private scholarship https://t.co/fuf0ajeOqy @D…","2016-05-10 20:51:51","TRUE","FALSE","1","0","FALSE"
"69","Founder of Dogfish Head on Flouting a 500-Year-Old Beer Law https://t.co/1pnXIpu32X via @HarvardBiz #netDE https://t.co/dtDMtYb5NN","2016-05-10 20:51:27","FALSE","FALSE","1","0","FALSE"
"70","There's no stopping her - NCC Risk (Waste) Management asks Council for 14.49% increase #netde #nccde https://t.co/4vKelvcd2c","2016-05-10 20:51:06","FALSE","FALSE","1","2","FALSE"
"71","A bill removing homosexuality as a condition for grounds for divorce passed the House with four votes against. #netDE","2016-05-10 20:50:59","FALSE","FALSE","0","0","FALSE"
"72","I love #LocalArt in the spring. Check out @delawaretech student showcase. #livelocal #netde #arteducation  https://t.co/4xw1dUGejJ","2016-05-10 20:50:35","FALSE","FALSE","0","0","FALSE"
"73","Former Blue Rock #NetDE  https://t.co/GOsZNkVdPi","2016-05-10 20:50:31","FALSE","FALSE","0","0","FALSE"
"74","DE-82: Campbell Rd at Centerville Rd, near Hoopes Reservoir, report of an accident w/injuries.  #NetDE","2016-05-10 20:48:59","FALSE","FALSE","0","0","FALSE"
"75","DNREC Seeks Nominees For Young Environmentalist Awards #netde... https://t.co/CpGGFibWdQ","2016-05-10 20:48:34","FALSE","FALSE","0","0","FALSE"
"76","RT @HagleyDE: Slowly but surely the wisteria on the du Pont family home is starting to bloom. #hurryupspring #netde #inwilm https://t.co/YX…","2016-05-10 20:45:32","TRUE","FALSE","2","0","FALSE"
"77","RT @clairesnyderhal: Yes on SB242! Thx @MargaretRHenry @DrewFennell @ACLU_Delaware @CommonCauseDE #netde @BryanTownsendDE @PaulBaumbach htt…","2016-05-10 20:38:57","TRUE","FALSE","2","0","FALSE"
"78","It's week 2 of Marvel Mania!!! #TacoTuesday @BrooklynBrewery #craftbeer #marvelsmostwanted #netde https://t.co/STXnS49hp1","2016-05-10 20:36:37","FALSE","FALSE","0","1","FALSE"
"79","Lowe Enterprises, foreign investor buys Stonegate Apartments | Delaware Business Now https://t.co/VwIX1AL0Rw #netde","2016-05-10 20:36:10","FALSE","FALSE","0","1","FALSE"
"80","BREAKING: Former Millville VFC Treasurer Stole Almost $200,000 #netde... https://t.co/EB9zJt3UGM","2016-05-10 20:30:59","FALSE","FALSE","0","0","FALSE"
"81","ICYMI: @MarkRuffalo cares about #netDE watershed. On mission to improve water quality! https://t.co/FLDIaQmleG","2016-05-10 20:30:27","FALSE","FALSE","1","1","FALSE"
"82","RT @NCCo_Politics: Creep-o-meter flashback 
#netde #nccde #wilmde #delaware #TomGordon #Freebery https://t.co/5re7ddz26v","2016-05-10 20:23:04","TRUE","FALSE","2","0","FALSE"
"83","RT @DelawarePSC: Next week's agenda is up! #netde #PSCUpdate #opengov #takingcareofbusiness... https://t.co/JYdEpcZDSu","2016-05-10 20:22:08","TRUE","FALSE","2","0","FALSE"
"84","Uh oh! #tacotuesday is alive and well here too! @33WestAleHouse #netde #dovereats  https://t.co/o1MVAs0BQ8","2016-05-10 20:18:09","FALSE","FALSE","1","3","FALSE"
"85","HOW TO determine if your lawn has grubs. https://t.co/jatsYTCLEV  #lawncare #netde https://t.co/MPlk3meW6C","2016-05-10 20:15:22","FALSE","FALSE","0","0","FALSE"
"86","RT @DelawarePSC: Next week's agenda is up! #netde #PSCUpdate #opengov #takingcareofbusiness... https://t.co/JYdEpcZDSu","2016-05-10 20:15:18","TRUE","FALSE","2","0","FALSE"
"87","RT @NCCo_Politics: Creep-o-meter flashback 
#netde #nccde #wilmde #delaware #TomGordon #Freebery https://t.co/5re7ddz26v","2016-05-10 20:14:49","TRUE","FALSE","2","0","FALSE"
"88","Girls charged in #RIPAmy free on bail: https://t.co/Fj7ksN9QmI #NetDE #justiceforamyjoyner https://t.co/dsFBn1XdHI","2016-05-10 20:12:44","FALSE","FALSE","6","0","FALSE"
"89","Next week's agenda is up! #netde #PSCUpdate #opengov #takingcareofbusiness... https://t.co/JYdEpcZDSu","2016-05-10 20:11:09","FALSE","FALSE","2","1","FALSE"
"90","Wilmington mayoral debate rescheduled for May 26 https://t.co/Q4hYwXzrY6 via @delawareonline #netde #votede","2016-05-10 20:10:40","FALSE","FALSE","1","0","FALSE"
"91","RT @GovernorMarkell: Applaud Senate vote to end financial bar to voting when ppl finish probation. Voting shouldn’t depend on ability to pa…","2016-05-10 20:10:25","TRUE","FALSE","8","0","FALSE"
"92","Picking up the kid from chorus practice + voting in school board elections. Thanks to @VCDelaware  for the reminder! #vote #netDE","2016-05-10 20:08:23","FALSE","FALSE","1","1","FALSE"
"93","Congrats to Class of 2016! Find a list of graduation ceremonies at https://t.co/b1gFyFcAJ2.  #netde #edude","2016-05-10 20:07:43","FALSE","FALSE","1","3","FALSE"
"94","Getting good work done in Legislative Hall with Senator Cloutier and colleagues today.  @degop @delaware_gov #NetDe https://t.co/uzzRJnYSyp","2016-05-10 20:07:30","FALSE","FALSE","0","0","FALSE"
"95","RT @GovernorMarkell: Applaud Senate vote to end financial bar to voting when ppl finish probation. Voting shouldn’t depend on ability to pa…","2016-05-10 20:06:07","TRUE","FALSE","8","0","FALSE"
"96","@airsupplymusic will rock the Rollins Center stage on Aug 19. #Tickets on sale now for #airsupply. https://t.co/LPfmXiPzXk #comeplay #netDE","2016-05-10 20:01:38","FALSE","FALSE","0","0","FALSE"
"97","RT @GovernorMarkell: Applaud Senate vote to end financial bar to voting when ppl finish probation. Voting shouldn’t depend on ability to pa…","2016-05-10 20:01:02","TRUE","FALSE","8","0","FALSE"
"98","@NCCSEFCU hosts Bank at School program at @StubbsSchool https://t.co/wrjXgwyPTG #CSDpride #leadingtheway #netde https://t.co/onS4p5mE1k","2016-05-10 20:00:11","FALSE","FALSE","0","1","FALSE"
"99","RT @CapeGazette: Subscribe at https://t.co/OsA81jTPOj to read our entire May 10 #newspaper online. #Delaware #netde #pedestriansafety https…","2016-05-10 19:57:55","TRUE","FALSE","1","0","FALSE"
"100","RT @thevibecc: Loving the setup Del Castle Tech HS! #netde #media #smm https://t.co/Dtk2GH7wpl","2016-05-10 19:56:07","TRUE","FALSE","1","0","FALSE"
"101","Felton High School Alumni recently awarded $17,000 to Lake Forest HS seniors. Did you know!? #degoestocollege #netde https://t.co/tD0PDd5llL","2016-05-10 19:54:47","FALSE","FALSE","0","0","FALSE"
"102","Felton High School Alumni recently awarded $17,000 to Lake Forest HS seniors. Did you know!? #degoestocollege #netde https://t.co/9ugCHoiTZ8","2016-05-10 19:54:47","FALSE","FALSE","0","2","FALSE"
"103","RT @NCCo_Politics: Key 2012 Gordon Campaign staffer defects; Now supports Gordon's opponent Matt Meyer #netDE #wilmde https://t.co/nOTSvhcm…","2016-05-10 19:50:55","TRUE","FALSE","2","0","FALSE"
"104","RT @NCCo_Politics: Key 2012 Gordon Campaign staffer defects; Now supports Gordon's opponent Matt Meyer #netDE #wilmde https://t.co/nOTSvhcm…","2016-05-10 19:50:22","TRUE","FALSE","2","0","FALSE"
"105","Key 2012 Gordon Campaign staffer defects; Now supports Gordon's opponent Matt Meyer #netDE #wilmde https://t.co/nOTSvhcmxX","2016-05-10 19:49:13","FALSE","FALSE","2","5","FALSE"
